Entity,Code,Day,sea_level_rise_average,sea_level_rise_cw2011,sea_level_rise_uhslcfd
World,OWID_WRL,1899-10-15,-140.08073,-140.0807292,
World,OWID_WRL,1899-07-15,-151.68073,-151.6807292,
World,OWID_WRL,1899-04-15,-149.88073,-149.8807292,
World,OWID_WRL,1899-01-15,-150.58073,-150.5807292,
World,OWID_WRL,1898-10-15,-155.61406,-155.6140625,
World,OWID_WRL,1898-07-15,-157.11406,-157.1140625,
World,OWID_WRL,1898-04-15,-147.9474,-147.9473958,
World,OWID_WRL,1898-01-15,-169.2474,-169.2473958,
World,OWID_WRL,1897-10-15,-168.9474,-168.9473958,
World,OWID_WRL,1897-07-15,-152.1474,-152.1473958,
World,OWID_WRL,1897-04-15,-162.48073,-162.4807292,
World,OWID_WRL,1897-01-15,-173.38073,-173.3807292,
World,OWID_WRL,1896-10-15,-169.8474,-169.8473958,
World,OWID_WRL,1896-07-15,-160.31406,-160.3140625,
World,OWID_WRL,1896-04-15,-172.88073,-172.8807292,
World,OWID_WRL,1896-01-15,-171.4474,-171.4473958,
World,OWID_WRL,1895-10-15,-158.7474,-158.7473958,
World,OWID_WRL,1895-07-15,-163.1474,-163.1473958,
World,OWID_WRL,1895-04-15,-166.0474,-166.0473958,
World,OWID_WRL,1895-01-15,-161.11406,-161.1140625,
World,OWID_WRL,1894-10-15,-177.01406,-177.0140625,
World,OWID_WRL,1894-07-15,-176.88073,-176.8807292,
World,OWID_WRL,1894-04-15,-173.21406,-173.2140625,
World,OWID_WRL,1894-01-15,-170.08073,-170.0807292,
World,OWID_WRL,1893-10-15,-164.48073,-164.4807292,
World,OWID_WRL,1893-07-15,-162.98073,-162.9807292,
World,OWID_WRL,1893-04-15,-160.8474,-160.8473958,
World,OWID_WRL,1893-01-15,-170.81406,-170.8140625,
World,OWID_WRL,1892-10-15,-176.08073,-176.0807292,
World,OWID_WRL,1892-07-15,-167.58073,-167.5807292,
World,OWID_WRL,1892-04-15,-163.41406,-163.4140625,
World,OWID_WRL,1892-01-15,-167.5474,-167.5473958,
World,OWID_WRL,1891-10-15,-168.21406,-168.2140625,
World,OWID_WRL,1891-07-15,-167.71406,-167.7140625,
World,OWID_WRL,1891-04-15,-171.01406,-171.0140625,
World,OWID_WRL,1891-01-15,-186.48073,-186.4807292,
World,OWID_WRL,1890-10-15,-175.28073,-175.2807292,
World,OWID_WRL,1890-07-15,-166.98073,-166.9807292,
World,OWID_WRL,1890-04-15,-160.71406,-160.7140625,
World,OWID_WRL,1890-01-15,-176.5474,-176.5473958,
World,OWID_WRL,1889-10-15,-177.1474,-177.1473958,
World,OWID_WRL,1889-07-15,-169.71406,-169.7140625,
World,OWID_WRL,1889-04-15,-167.98073,-167.9807292,
World,OWID_WRL,1889-01-15,-171.08073,-171.0807292,
World,OWID_WRL,1888-10-15,-170.41406,-170.4140625,
World,OWID_WRL,1888-07-15,-172.61406,-172.6140625,
World,OWID_WRL,1888-04-15,-177.71406,-177.7140625,
World,OWID_WRL,1888-01-15,-175.88073,-175.8807292,
World,OWID_WRL,1887-10-15,-171.88073,-171.8807292,
World,OWID_WRL,1887-07-15,-170.21406,-170.2140625,
World,OWID_WRL,1887-04-15,-180.78073,-180.7807292,
World,OWID_WRL,1887-01-15,-184.18073,-184.1807292,
World,OWID_WRL,1886-10-15,-178.98073,-178.9807292,
World,OWID_WRL,1886-07-15,-164.21406,-164.2140625,
World,OWID_WRL,1886-04-15,-164.08073,-164.0807292,
World,OWID_WRL,1886-01-15,-171.11406,-171.1140625,
World,OWID_WRL,1885-10-15,-166.58073,-166.5807292,
World,OWID_WRL,1885-07-15,-167.68073,-167.6807292,
World,OWID_WRL,1885-04-15,-166.61406,-166.6140625,
World,OWID_WRL,1885-01-15,-173.3474,-173.3473958,
World,OWID_WRL,1884-10-15,-174.51406,-174.5140625,
World,OWID_WRL,1884-07-15,-166.28073,-166.2807292,
World,OWID_WRL,1884-04-15,-158.98073,-158.9807292,
World,OWID_WRL,1884-01-15,-166.61406,-166.6140625,
World,OWID_WRL,1883-10-15,-179.81406,-179.8140625,
World,OWID_WRL,1883-07-15,-185.1474,-185.1473958,
World,OWID_WRL,1883-04-15,-192.48073,-192.4807292,
World,OWID_WRL,1883-01-15,-204.38073,-204.3807292,
World,OWID_WRL,1882-10-15,-202.5474,-202.5473958,
World,OWID_WRL,1882-07-15,-190.08073,-190.0807292,
World,OWID_WRL,1882-04-15,-184.21406,-184.2140625,
World,OWID_WRL,1882-01-15,-189.48073,-189.4807292,
World,OWID_WRL,1881-10-15,-186.0474,-186.0473958,
World,OWID_WRL,1881-07-15,-174.01406,-174.0140625,
World,OWID_WRL,1881-04-15,-172.41406,-172.4140625,
World,OWID_WRL,1881-01-15,-159.68073,-159.6807292,
World,OWID_WRL,1880-10-15,-174.1474,-174.1473958,
World,OWID_WRL,1880-07-15,-183.2474,-183.2473958,
World,OWID_WRL,1880-04-15,-183.31406,-183.3140625,
World,OWID_WRL,10/15/2020,61.74304,,61.74303963
World,OWID_WRL,7/15/2020,66.70433,,66.70432506
World,OWID_WRL,4/15/2020,66.73996,,66.73996192
World,OWID_WRL,1/15/2020,68.81163,,68.81162977
World,OWID_WRL,10/15/2019,67.24985,,67.2498485
World,OWID_WRL,7/15/2019,61.39371,,61.39371322
World,OWID_WRL,4/15/2019,58.67191,,58.67190583
World,OWID_WRL,1/15/2019,56.60749,,56.6074862
World,OWID_WRL,10/15/2018,53.30166,,53.30166183
World,OWID_WRL,7/15/2018,53.08512,,53.08512198
World,OWID_WRL,4/15/2018,52.57545,,52.57545138
World,OWID_WRL,1/15/2018,49.37086,,49.37085909
World,OWID_WRL,10/15/2017,52.51952,,52.51951993
World,OWID_WRL,7/15/2017,57.35599,,57.35599133
World,OWID_WRL,4/15/2017,55.61237,,55.6123727
World,OWID_WRL,1/15/2017,54.96168,,54.96168128
World,OWID_WRL,10/15/2016,55.541,,55.54100329
World,OWID_WRL,7/15/2016,54.34696,,54.34696367
World,OWID_WRL,4/15/2016,56.71159,,56.71159225
World,OWID_WRL,1/15/2016,58.72329,,58.72328655
World,OWID_WRL,10/15/2015,54.90935,,54.90935276
World,OWID_WRL,7/15/2015,50.46171,,50.46170567
World,OWID_WRL,4/15/2015,50.08209,,50.08209017
World,OWID_WRL,1/15/2015,53.26458,,53.2645778
World,OWID_WRL,10/15/2014,55.67588,,55.67588286
World,OWID_WRL,7/15/2014,53.85737,,53.85737212
World,OWID_WRL,4/15/2014,48.81691,,48.81691195
World,OWID_WRL,1/15/2014,41.26864,,41.26864169
World,OWID_WRL,10/15/2013,37.38712,,37.3871177
World,OWID_WRL,7/15/2013,41.33799,,41.33798668
World,OWID_WRL,4/15/2013,44.57792,,44.57791577
World,OWID_WRL,1/15/2013,44.80457,,44.80457051
World,OWID_WRL,10/15/2012,46.27147,,46.27147442
World,OWID_WRL,7/15/2012,47.1739,,47.17390325
World,OWID_WRL,4/15/2012,41.72089,,41.72088544
World,OWID_WRL,1/15/2012,34.20025,,34.20024888
World,OWID_WRL,10/15/2011,34.68251,,34.68250576
World,OWID_WRL,7/15/2011,36.71847,,36.71847075
World,OWID_WRL,4/15/2011,35.97776,,35.97776181
World,OWID_WRL,1/15/2011,37.34795,,37.34794901
World,OWID_WRL,10/15/2010,37.25103,,37.25102558
World,OWID_WRL,7/15/2010,33.87824,,33.87824005
World,OWID_WRL,4/15/2010,34.88547,,34.88547268
World,OWID_WRL,1/15/2010,38.77694,,38.77693523
World,OWID_WRL,10/15/2009,36.90731,38.0859375,35.72867628
World,OWID_WRL,7/15/2009,31.03554,33.65260417,28.418468
World,OWID_WRL,4/15/2009,23.53385,24.65260417,22.4150906
World,OWID_WRL,1/15/2009,18.8664,19.31927083,18.41353077
World,OWID_WRL,10/15/2008,22.07113,23.81927083,20.322983
World,OWID_WRL,7/15/2008,27.62711,30.45260417,24.80161176
World,OWID_WRL,4/15/2008,23.63056,25.35260417,21.90851915
World,OWID_WRL,1/15/2008,16.56862,17.55260417,15.58462623
World,OWID_WRL,10/15/2007,16.01026,17.51927083,14.50124987
World,OWID_WRL,7/15/2007,18.53728,22.7859375,14.2886166
World,OWID_WRL,4/15/2007,10.04572,10.3859375,9.70550625
World,OWID_WRL,1/15/2007,6.52432,4.3859375,8.66270068
World,OWID_WRL,10/15/2006,13.23097,13.65260417,12.80933042
World,OWID_WRL,7/15/2006,12.41419,9.519270833,15.30910579
World,OWID_WRL,4/15/2006,14.76707,14.11927083,15.41486092
World,OWID_WRL,1/15/2006,9.36491,6.652604167,12.07722324
World,OWID_WRL,10/15/2005,7.78977,6.352604167,9.226936095
World,OWID_WRL,7/15/2005,10.4647,12.11927083,8.810124129
World,OWID_WRL,4/15/2005,9.13256,10.05260417,8.212508202
World,OWID_WRL,1/15/2005,9.02399,10.61927083,7.428710794
World,OWID_WRL,10/15/2004,8.70617,9.9859375,7.426393354
World,OWID_WRL,7/15/2004,10.59808,13.65260417,7.543565438
World,OWID_WRL,4/15/2004,7.7018,9.152604167,6.250996375
World,OWID_WRL,1/15/2004,7.56092,8.252604167,6.869239997
World,OWID_WRL,10/15/2003,11.86577,15.71927083,8.012265803
World,OWID_WRL,7/15/2003,10.77244,14.61927083,6.925613295
World,OWID_WRL,4/15/2003,5.28813,5.919270833,4.656994466
World,OWID_WRL,1/15/2003,3.24694,4.3859375,2.107942879
World,OWID_WRL,10/15/2002,3.36992,5.219270833,1.520559341
World,OWID_WRL,7/15/2002,1.08633,2.152604167,0.020047084
World,OWID_WRL,4/15/2002,-1.56778,-1.047395833,-2.088163757
World,OWID_WRL,1/15/2002,-1.05837,-2.780729167,0.663981094
World,OWID_WRL,10/15/2001,3.39856,3.319270833,3.477857781
World,OWID_WRL,7/15/2001,4.0327,4.719270833,3.346121297
World,OWID_WRL,4/15/2001,3.42258,2.752604167,4.092562893
World,OWID_WRL,1/15/2001,0.73735,-0.8140625,2.288764482
World,OWID_WRL,10/15/2000,-3.5678,-4.6140625,-2.521531098
World,OWID_WRL,7/15/2000,0.32859,2.952604167,-2.295423072
World,OWID_WRL,4/15/2000,0.16507,0.7859375,-0.455801584
World,OWID_WRL,1/15/2000,-5.17582,-8.347395833,-2.00424797
World,OWID_WRL,10/15/1999,-2.45536,-3.080729167,-1.829999251
World,OWID_WRL,7/15/1999,-0.60471,-0.247395833,-0.962018013
World,OWID_WRL,4/15/1999,-0.90868,-0.647395833,-1.169963654
World,OWID_WRL,1/15/1999,-5.99732,-8.480729167,-3.51390462
World,OWID_WRL,10/15/1998,-8.18047,-9.1140625,-7.24687525
World,OWID_WRL,7/15/1998,-10.49035,-10.8140625,-10.16664232
World,OWID_WRL,4/15/1998,-10.06429,-11.64739583,-8.481188102
World,OWID_WRL,1/15/1998,-2.18943,-1.847395833,-2.531473513
World,OWID_WRL,10/15/1997,-2.01091,-2.1140625,-1.907755576
World,OWID_WRL,7/15/1997,-2.55864,-2.647395833,-2.469881973
World,OWID_WRL,4/15/1997,-1.21115,0.119270833,-2.541574166
World,OWID_WRL,1/15/1997,-6.43646,-6.480729167,-6.392200361
World,OWID_WRL,10/15/1996,-7.3501,-5.147395833,-9.552796407
World,OWID_WRL,7/15/1996,-11.45393,-11.94739583,-10.96045959
World,OWID_WRL,4/15/1996,-12.19906,-15.18072917,-9.217386527
World,OWID_WRL,1/15/1996,-7.05866,-7.247395833,-6.869924627
World,OWID_WRL,10/15/1995,-10.50725,-11.54739583,-9.467108624
World,OWID_WRL,7/15/1995,-13.28908,-15.58072917,-10.99742126
World,OWID_WRL,4/15/1995,-12.13451,-15.28072917,-8.988283445
World,OWID_WRL,1/15/1995,-13.53047,-16.34739583,-10.71353651
World,OWID_WRL,10/15/1994,-16.77565,-18.24739583,-15.30390294
World,OWID_WRL,7/15/1994,-17.08159,-17.98072917,-16.18246063
World,OWID_WRL,4/15/1994,-17.63631,-20.08072917,-15.19189433
World,OWID_WRL,1/15/1994,-21.28105,-22.34739583,-20.21470482
World,OWID_WRL,10/15/1993,-27.44191,-28.7140625,-26.1697558
World,OWID_WRL,7/15/1993,-22.54011,-22.78072917,-22.29949291
World,OWID_WRL,4/15/1993,-16.58892,-16.3140625,-16.8637797
World,OWID_WRL,1/15/1993,-18.13835,-19.58072917,-16.69596631
World,OWID_WRL,10/15/1992,-16.6333,-17.8140625,-15.4525379
World,OWID_WRL,7/15/1992,-16.47831,-20.24739583,-12.70923305
World,OWID_WRL,4/15/1992,-13.23923,-17.4140625,-9.064392998
World,OWID_WRL,1/15/1992,-11.17667,-16.38072917,-5.97261987
World,OWID_WRL,10/15/1991,-12.68882,-18.94739583,-6.43025132
World,OWID_WRL,7/15/1991,-15.89548,-22.8140625,-8.976906274
World,OWID_WRL,4/15/1991,-17.5856,-21.8140625,-13.35714507
World,OWID_WRL,1/15/1991,-18.15554,-20.34739583,-15.96368124
World,OWID_WRL,10/15/1990,-16.3655,-19.48072917,-13.2502719
World,OWID_WRL,7/15/1990,-18.38446,-22.84739583,-13.92152244
World,OWID_WRL,4/15/1990,-24.06558,-28.3140625,-19.81709396
World,OWID_WRL,1/15/1990,-23.40021,-25.24739583,-21.5530319
World,OWID_WRL,10/15/1989,-21.8144,-22.24739583,-21.38139724
World,OWID_WRL,7/15/1989,-23.32165,-25.14739583,-21.49591391
World,OWID_WRL,4/15/1989,-24.26904,-24.6140625,-23.92402054
World,OWID_WRL,1/15/1989,-29.96407,-31.84739583,-28.08075032
World,OWID_WRL,10/15/1988,-26.68788,-26.5140625,-26.86170176
World,OWID_WRL,7/15/1988,-26.95959,-28.84739583,-25.0717923
World,OWID_WRL,4/15/1988,-27.38584,-31.64739583,-23.12427568
World,OWID_WRL,1/15/1988,-27.97777,-31.4140625,-24.54146997
World,OWID_WRL,10/15/1987,-34.31563,-37.6140625,-31.01720324
World,OWID_WRL,7/15/1987,-31.39855,-33.24739583,-29.54970982
World,OWID_WRL,4/15/1987,-28.90509,-34.28072917,-23.52944719
World,OWID_WRL,1/15/1987,-29.50557,-33.84739583,-25.16374092
World,OWID_WRL,10/15/1986,-33.46858,-36.8140625,-30.1230909
World,OWID_WRL,7/15/1986,-33.0361,-35.18072917,-30.89147752
World,OWID_WRL,4/15/1986,-32.84495,-33.78072917,-31.90917505
World,OWID_WRL,1/15/1986,-34.12176,-33.8140625,-34.42945832
World,OWID_WRL,10/15/1985,-35.20057,-36.58072917,-33.82041015
World,OWID_WRL,7/15/1985,-35.00677,-36.98072917,-33.03281913
World,OWID_WRL,4/15/1985,-35.50844,-35.2140625,-35.80281479
World,OWID_WRL,1/15/1985,-33.6156,-31.68072917,-35.55047791
World,OWID_WRL,10/15/1984,-27.78992,-24.8140625,-30.76577436
World,OWID_WRL,7/15/1984,-25.04278,-21.7140625,-28.37149093
World,OWID_WRL,4/15/1984,-27.57409,-25.04739583,-30.10078006
World,OWID_WRL,1/15/1984,-31.57944,-30.48072917,-32.67814249
World,OWID_WRL,10/15/1983,-32.07189,-30.64739583,-33.49638991
World,OWID_WRL,7/15/1983,-27.12332,-22.28072917,-31.96590356
World,OWID_WRL,4/15/1983,-23.20008,-18.6140625,-27.78608947
World,OWID_WRL,1/15/1983,-24.03743,-23.54739583,-24.52746798
World,OWID_WRL,10/15/1982,-26.99358,-28.6140625,-25.37309087
World,OWID_WRL,7/15/1982,-33.78492,-37.88072917,-29.6891142
World,OWID_WRL,4/15/1982,-34.04954,-35.3140625,-32.7850235
World,OWID_WRL,1/15/1982,-30.79048,-30.2140625,-31.36688839
World,OWID_WRL,10/15/1981,-27.93232,-25.9140625,-29.95058354
World,OWID_WRL,7/15/1981,-28.66032,-25.98072917,-31.33990185
World,OWID_WRL,4/15/1981,-28.62912,-26.8140625,-30.44417076
World,OWID_WRL,1/15/1981,-30.47303,-31.08072917,-29.86532757
World,OWID_WRL,10/15/1980,-38.29846,-40.98072917,-35.61619887
World,OWID_WRL,7/15/1980,-41.42697,-41.88072917,-40.97321911
World,OWID_WRL,4/15/1980,-40.11137,-38.9140625,-41.30867868
World,OWID_WRL,1/15/1980,-39.62568,-37.68072917,-41.57064016
World,OWID_WRL,10/15/1979,-42.4946,-39.38072917,-45.60846658
World,OWID_WRL,7/15/1979,-48.35037,-46.8140625,-49.88668493
World,OWID_WRL,4/15/1979,-51.85539,-49.38072917,-54.33004753
World,OWID_WRL,1/15/1979,-53.21401,-49.6140625,-56.81395408
World,OWID_WRL,10/15/1978,-47.43206,-42.2140625,-52.65004871
World,OWID_WRL,7/15/1978,-45.392,-41.8140625,-48.96993724
World,OWID_WRL,4/15/1978,-41.87924,-37.34739583,-46.41108087
World,OWID_WRL,1/15/1978,-41.26372,-38.24739583,-44.28004194
World,OWID_WRL,10/15/1977,-45.60521,-45.54739583,-45.66303415
World,OWID_WRL,7/15/1977,-48.46944,-48.5140625,-48.42480912
World,OWID_WRL,4/15/1977,-49.70088,-49.6140625,-49.78768852
World,OWID_WRL,1/15/1977,-44.83496,-44.24739583,-45.42252381
World,OWID_WRL,10/15/1976,-41.39076,-44.4140625,-38.36745777
World,OWID_WRL,7/15/1976,-40.14991,-44.74739583,-35.55243268
World,OWID_WRL,4/15/1976,-43.38576,-46.28072917,-40.49079445
World,OWID_WRL,1/15/1976,-47.44591,-46.68072917,-48.21109592
World,OWID_WRL,10/15/1975,-46.36849,-43.74739583,-48.98959182
World,OWID_WRL,7/15/1975,-44.54439,-45.84739583,-43.24139335
World,OWID_WRL,4/15/1975,-40.25499,-42.9140625,-37.59591851
World,OWID_WRL,1/15/1975,-41.24135,-43.94739583,-38.53531353
World,OWID_WRL,10/15/1974,-44.02791,-46.04739583,-42.00842261
World,OWID_WRL,7/15/1974,-42.41754,-43.18072917,-41.65436059
World,OWID_WRL,4/15/1974,-41.29231,-40.48072917,-42.1038966
World,OWID_WRL,1/15/1974,-44.53938,-40.18072917,-48.89802193
